token_id,name,mouth,background,clothes,fur,head,head accessory,finish,jewellery,vision,eyes,defense,shooting,rarity_score,rarity_rank
0,Kong #0,Saber Toothed,Gold,White Tee,Grey,,,81,,54,Bloodshot,41,42,10726.121268328325,1452.0
1,Kong #1,Regular,Light Grey,Red Kimono,Brown,Green Beret,,59,,52,Angry,53,40,10267.381500442227,9007.0
2,Kong #2,Ooh,Light Blue,Striped Tee,Grey,Green Beret,,60,,30,Closed,63,66,10327.806899343423,6546.0
3,Kong #3,Shows Teeth,Brown,Dego Tee Blooded,Pink,,,74,,63,Wide Scar,55,45,10315.362664369424,7031.0
4,Kong #4,Regular,Pink,,White Noise,Cap Forward,,45,,60,Regular,55,46,10228.874454962111,9886.0
5,Kong #5,Ooh,Light Grey,Dress,Pink,Chopsticks Bun,,38,,53,Closed Scar,50,36,10304.182947348294,7472.0
6,Kong #6,Regular,Grey,Fusion Gi,Black,,,53,,36,Closed Scar,42,58,10255.489654583342,9392.0
7,Kong #7,Scream,Light Grey,Shaolin Vest,Brown,Blonde Bun,,59,,35,Closed Scar,43,49,10275.591548728013,8683.0
8,Kong #8,Regular,Purple,Red Kimono,Sky Blue,,,32,,32,Wide,18,75,10662.84113623934,1771.0
9,Kong #9,Saber Toothed,Gold,White Tee,Brown,RKL Cap Forward,,39,,50,Angry Scar,27,58,10552.810717547756,2461.0
10,Kong #10,Ooh,Yellow,Striped Tee,Black,RKL Cap Sideways,3D Glasses,62,,76,Wide Scar,70,40,10459.595834235233,3487.0
11,Kong #11,Scream,Grey,Biker Jacket,Black,,,62,,43,Sad,72,49,10303.923794282713,7490.0
12,Kong #12,Gold Saber Toothed,Dark Blue,Trippy Tee,Pink,Chopsticks Bun,,67,,30,Regular,38,63,10367.730339856394,5200.0
13,Kong #13,Gold Saber Toothed,Pink,Dego Tee Blooded,Pink,,,71,,11,Wide,52,42,11159.377048439354,799.0
14,Kong #14,Regular,Grey,Striped Tee,Sky Blue,,,33,,80,Regular,43,49,10499.742648317393,3000.0
15,Kong #15,Tongue Out,Grey,Hawaii Shirt,Sky Blue,Cap Forward,Blue Shades,40,,29,Regular,55,57,10338.679845112132,6120.0
16,Kong #16,Shows Teeth,Cyan,White Tee,Black,Red Bandana,,52,,64,Wide,80,63,10541.166062804507,2578.0
17,Kong #17,Shows Teeth,Brown,Dego Tee Blooded,White Noise,RKL Cap Sideways,,20,,75,Bloodshot,57,43,10594.849588368394,2181.0
18,Kong #18,Shows Teeth,Brown,Tracksuit,Black,,,78,,57,Angry,58,58,10401.106996065615,4382.0
19,Kong #19,Gold Saber Toothed,Grey,Cyan Jersey,White Noise,,,79,,33,Angry,81,38,10701.0533581014,1564.0
20,Kong #20,Gold Saber Toothed,Grey,Trippy Tee,Grey,,Broken Glasses,33,,52,Wide Scar,54,51,10310.345542939016,7215.0
21,Kong #21,Scream,Light Blue,Hawaii Shirt,Pink,,Gold Stud,49,,38,Bloodshot,64,47,10309.606000218973,7242.0
22,Kong #22,Scream,Grey,Fusion Gi,Red,Green Beret,,67,,37,Angry Wink,46,64,10340.658525347648,6055.0
23,Kong #23,Regular,Brown,Biker Jacket,Black,Chopsticks Bun,,73,,22,Wide Scar,64,25,10580.914967233735,2262.0
24,Kong #24,Scream,Red,Green Kimono,Brown,RKL Cap Forward,,35,,92,Regular,47,61,11917.059024680024,252.0
25,Kong #25,Regular,Cyan,,Brown,Bowler,,40,,50,Angry,7,46,12181.030631686268,194.0
26,Kong #26,Drool,Cyan,Hawaii Shirt,Brown,,,53,,43,Regular,48,44,10225.337302732933,9920.0
27,Kong #27,Regular,Light Grey,Tracksuit,Grey,,,11,,41,Angry Wink,94,38,13079.208145575562,85.0
28,Kong #28,Shows Teeth,Cyan,Striped Tee,Red,RKL Cap Forward,,40,,71,Regular,20,33,10556.329807312213,2428.0
29,Kong #29,Drool,Purple,Striped Tee,White Noise,Beanie,,47,,61,Closed Scar,26,36,10334.534671605898,6275.0
30,Kong #30,Scream,Brown,Biker Jacket,Brown,,,54,,58,Wide,42,29,10278.095957805572,8582.0
31,Kong #31,Gold Saber Toothed,Pink,Striped Tee,Brown,RKL Cap Sideways,,42,,47,Wide Scar,48,59,10252.002281665127,9484.0
32,Kong #32,Kiss,Cyan,,Brown,RKL Cap Forward,Gold Stud,68,,82,Wide,32,33,10702.366794787999,1559.0
33,Kong #33,Regular,Light Grey,,Pink,Horse Jockey Hat,,66,,55,Wide,33,71,10338.546883157745,6125.0
34,Kong #34,Missing Teeth,Brown,Dego Tee Blooded,Red,Russian Cap,Exotic Earring,45,,32,Wide,36,68,10423.50863609283,3977.0
35,Kong #35,Ooh,Cyan,Biker Jacket,Pink,Blonde Bun,,74,,49,Wide Scar,38,55,10324.985342587108,6673.0
36,Kong #36,Drool,Purple,Shaolin Vest,White Noise,Green Beret,3D Glasses,29,,57,Regular,57,52,10352.319642707676,5680.0
37,Kong #37,Ooh,Grey,Biker Jacket,Sky Blue,RKL Cap Sideways,,44,,47,Closed Scar,42,39,10251.615348859075,9494.0
38,Kong #38,Kiss,Brown,Trippy Tee,Green,RKL Cap Forward,,36,,51,Closed Scar,37,40,10288.55545807681,8162.0
39,Kong #39,Ooh,Grey,Dress,Grey,,,41,,70,Angry,77,57,10435.33338192939,3799.0
40,Kong #40,Scream,Pink,Shirt And Tie,Brown,Blonde Bun,Blue Shades,44,,53,Closed,47,51,10247.53198073482,9603.0
41,Kong #41,Scream,Pink,White Tee,Brown,,,41,,40,Wide,59,35,10240.982062159585,9733.0
42,Kong #42,Scream,Yellow,King Jersey,Hyper Cat,Gold Horns,,73,,8,Red Glow,66,44,12754.330880805785,106.0
43,Kong #43,Drool,Light Grey,Tracksuit,Pink,Ski Glasses,,49,,58,Wide,36,66,10318.718156900874,6916.0
44,Kong #44,Referee,Light Blue,,Brown,Blonde Bun,,27,,66,Closed Scar,84,55,10725.212222348226,1457.0
45,Kong #45,Regular,Light Blue,Trippy Tee,Black,,,56,,25,Angry,50,45,10326.752151171486,6597.0
46,Kong #46,Ooh,Dark Blue,Navy Suit,Grey,Blonde Bun,,44,,52,Closed,57,35,10278.141122330668,8580.0
47,Kong #47,Ooh,Pink,Hawaii Shirt,Red,RKL Cap Sideways,Blue Shades,34,,56,Angry Wink,45,39,10301.402989082624,7591.0
48,Kong #48,Gold Smirk,Pink,RKL Tee,Brown,Horse Jockey Hat,,73,,28,Wide,49,57,10432.677683706364,3844.0
49,Kong #49,Saber Toothed,Brown,White Tee,Green,Horse Jockey Hat,,36,,59,Closed Scar,26,55,10332.395147088871,6357.0
50,Kong #50,Kiss,Pink,Navy Suit,Brown,RKL Cap Sideways,,35,,55,Sad,35,46,10284.958611371263,8314.0
51,Kong #51,Shows Teeth,Purple,Hawaii Shirt,Black,RKL Cap Forward,,28,,28,Bloodshot,66,52,10379.674897071116,4892.0
52,Kong #52,Saber Toothed,Light Grey,White Tee,Pink,Blue Pigtails,,34,,46,Wide Scar,50,68,10307.034552107589,7350.0
53,Kong #53,Kiss,Yellow,Biker Jacket,Pink,Chopsticks Bun,,56,,44,Wide Scar,53,41,10267.763965785953,8990.0
54,Kong #54,Regular,Gold,Fusion Gi,Brown,Russian Cap,,47,,61,Bloodshot,54,40,10511.285710923243,2864.0
55,Kong #55,Diamond Teeth,Yellow,Mamba Jersey,Hyper Cat,Gold Horns,,13,,21,Regular,38,20,12072.39768626445,208.0
56,Kong #56,Scream,Light Grey,Shirt And Tie,Red,RKL Cap Forward,,78,,32,Angry Wink,52,37,10462.904911832617,3441.0
57,Kong #57,Regular,Dark Blue,,White Noise,,,24,,43,Regular,39,47,10288.610952329698,8160.0
58,Kong #58,Regular,Cyan,,Brown,,,62,,35,Bloodshot,43,33,10262.260789823942,9189.0
59,Kong #59,Regular,Yellow,Shirt And Tie,Green,,Red Shades,30,,45,Closed,58,54,10293.127610214417,7967.0
60,Kong #60,Scream,Grey,,Red,Bowler,,44,,78,Angry Wink,35,30,10432.145016120203,3853.0
61,Kong #61,Drool,Pink,Striped Tee,Sky Blue,,,48,,40,Closed,54,44,10239.47351244486,9754.0
