name,background,body,eyes,eyewear,hand,head,mouth,skin,token_id,face,neck,special features,legendary
Fear City #1,Subway,Butterfly Knives T,Natural,Yellow Glasses,Goldfish,Blue Pigol Cap,Lovely Lips,Sophia,1,,,,
Fear City #2,Blue City,Blue Vest,Normal Eyes,,Parrot,Red Biker Helmet with Gold Stripe,Natural Lips,ShadowKai,2,,,,
Fear City #3,Love Flash,Bliss Hotel T,Natural,,COVID,Army Helmet with Alien Mask,Joint,Sophia,3,,,,
Fear City #4,Green Flag,Black Hoodie,,,Hot Dog,Soul Hat and Blue Hair,Sexy Lips,Thumper,4,Rabbit Head,,,
Fear City #5,Blue City,Red Champion Hoodie,,,Hot Dog,Green Mohawk,Buck Teeth,Thumper,5,Rabbit Head,Basketball Sneakers,AK-47,
Fear City #6,3D Flag,Free Panther T,Normal Eyes,,Red Envelopes,Silver Hero Mask,Ciggy Holder,ShadowKai,6,,,,
Fear City #7,Green Flag,Plaid Shirt Open,Smokey Punk,White 80s Frames,Rubber Ducky,Samurai Bun Half,Kiss Lips with Ciggy Holder,Helen,7,,Choker,,
Fear City #8,3D Flag,Red Camo Bomber,Normal,,Goldfish,Trilby Hat,Idol Sneer,Baker,8,,,,
Fear City #9,Static,White T,Natural,Black Frame Blue Lens,Funkin Donuts,Red Pigol Bucket Hat,It Lips Smiley,Helen,9,Nose Ring Diamond,,,
Fear City #10,Mutant America,Varsity Jacket,Tentacles,,Rainbow Lightsaber,Samurai Semi Bun,Joint,Baker,10,,,,
Fear City #11,Subway,Black Hoodie,,,Silver Ball and Chain,Bondage Half Mask,,Thumper,11,Rabbit Head,,,
Fear City #12,God Bless America,Power T,Strange Gaze,80s Purple Lens,Knife Down,Yoh Mommas Hair,Joker with Toothpick,Barb,12,,Clock Bling,,
Fear City #13,God Bless America,All Power T,Natural,,Nail Bat,Rachel,It Lips Smiley,Sophia,13,,,,
